node,X,Y,Z,classe
1111,-21.589234877,6.6473407849,-19.490240168,0
1112,-21.3962484,6.5603040112,-19.087485091,0
1113,-21.053998408,6.4076672795,-18.82865249,0
1114,-20.639602732,6.2257745385,-18.773128177,0
1115,-20.248486608,6.0570144007,-18.933857318,0
1116,-19.968352559,5.9378685679,-19.277014708,0
1117,-17.625593524,4.9969039858,-21.458936781,0
1118,-17.965424338,5.1273246658,-21.820479386,0
1119,-18.404302893,5.298783006,-21.941414379,0
1120,-18.869003926,5.4840691168,-21.795302191,0
1121,-19.176317546,5.6087277512,-21.440528018,0
1122,-19.281512763,5.651787793,-20.967831467,0
1123,-19.157062887,5.6008673954,-20.500627106,9
1124,-18.834791825,5.4702962362,-20.160445757,0
1125,-18.378241623,5.2885060587,-20.036616403,0
1126,-17.942894561,5.1186149954,-20.17128523,0
1127,-17.625660636,4.9969295404,-20.518742876,0
1128,-19.968655824,5.9379960199,-23.971439329,9
1129,-20.246677141,6.0562403139,-24.312576554,9
1130,-20.638226877,6.2251766152,-24.474418111,0
1131,-21.053072376,6.4072571331,-24.419538864,0
1132,-21.396699744,6.560507367,-24.159819114,9
1133,-21.589532406,6.647475257,-23.756247321,0
1134,-21.589344803,6.6473905602,-23.300728079,0
1135,-21.396161398,6.5602649316,-22.897377483,9
1136,-21.053307391,6.4073613115,-22.638365534,0
1137,-20.63822583,6.2251754723,-22.583309171,0
1138,-20.246809126,6.0562966556,-22.745114435,0
1139,-19.968645797,5.9379925374,-23.086407489,0
1140,-17.626646275,4.9973048604,-25.270916696,9
1141,-17.946548235,5.1200268411,-25.618848962,0
1142,-18.38467522,5.291041947,-25.751321741,0
1143,-18.854183046,5.4781000534,-25.615136061,0
1144,-19.168950118,5.6057193577,-25.265002106,0
1145,-19.281705989,5.6518670727,-24.792107285,0
1146,-19.162696965,5.6031667204,-24.320966794,9
1147,-18.842531441,5.4734101658,-23.9752394,0
1148,-18.384622344,5.291021102,-23.846485342,0
1149,-17.946550053,5.1200275436,-23.978956089,0
1150,-17.626709003,4.9973287472,-24.326771879,0
1151,-19.967761003,5.9376177301,-27.779583118,9
1152,-20.24354965,6.0549022915,-28.120216267,9
1153,-20.632577657,6.2227191331,-28.283648148,0
1154,-21.045986649,6.4041202751,-28.232436412,9
1155,-21.402001947,6.5628893196,-27.963186425,9
1156,-21.590984656,6.6481328828,-27.559667007,0
1157,-21.58827687,6.6469070029,-27.106033959,9
1158,-21.39442945,6.5594869974,-26.705242121,9
1159,-21.046074262,6.4041591673,-26.445405774,0
1160,-20.632413259,6.2226469104,-26.394099909,0
1161,-20.243584945,6.054917269,-26.557548224,0
1162,-19.967772895,5.9376235133,-26.898218169,0
1163,-17.626615006,4.9972929532,-29.080858046,9
1164,-17.946267129,5.1199182082,-29.428670748,0
1165,-18.391951752,5.2939109764,-29.561410533,0
1166,-18.854632036,5.478280825,-29.424844492,0
1167,-19.169116479,5.6057872785,-29.074681736,0
1168,-19.281704524,5.6518664716,-28.601888832,0
1169,-19.162682197,5.6031606928,-28.130939298,9
1170,-18.842647363,5.4734568135,-27.785312054,0
1171,-18.384076603,5.2908059628,-27.656494622,0
1172,-17.946257206,5.1199143736,-27.789141748,0
1173,-17.62661373,4.9972924672,-28.13695055,9
1174,-19.984298011,5.9446111731,-31.622394886,9
1175,-20.301557673,6.0797488514,-31.970614145,9
1176,-20.735322015,6.2675065383,-32.101353897,0
1177,-21.170207072,6.4592484802,-31.979776577,9
1178,-21.50810634,6.6106664274,-31.60592132,0
1179,-21.614469737,6.6587733186,-31.130323249,9
1180,-21.491193574,6.603036908,-30.659528979,9
1181,-21.170396841,6.4593331401,-30.318151818,9
